country,year,cereal_yield,fdi_perc_gdp,elec_access_perc,en_per_gdp,en_per_cap,co2_ttl,co2_per_cap,co2_per_gdp,other_ghg_ttl,ch4_ttl,n2o_ttl,nat_emerg,pop_urb_aggl_perc,prot_area_perc,gdp,gni_per_cap,under_5_mort_rate,pop_growth_perc,pop,urb_pop_growth_perc,urb_pop
LKA,1993.0,3024.1,1.8810822763682,..,150.290617292586,337.930607046092,4902.779,0.273506740964778,121.63886927138701,..,..,..,..,..,19.5982993456,10338679635.7616,600,28.6,1.03564599861857,17925624,0.0832578474930308,2997164.3328
LKA,1994.0,2901.9,1.42019594735505,..,136.670116477489,321.570040885099,5408.825,0.29899992924158,127.077619058452,..,..,..,..,..,19.5983460959,11717604208.8223,640,27.6,0.911262352743237,18089720,-0.0502835172009557,2995657.632
LKA,1995.0,3052.6,0.42975354803099,..,132.488248457021,326.354022475002,5797.527,0.318029986344111,129.108982717592,0,11577.7,1938.2,..,..,19.6688708546,13029697560.9756,690,26.7,0.769723016185816,18229498,-0.201158396510268,2989637.672
LKA,1996.0,3008.5,0.862545735590984,..,144.183785940587,366.426314608315,6952.632,0.379084300204857,149.164531626501,..,..,..,..,..,19.6689172747,13897738375.2488,740,25.8,0.607591228947065,18340596,-0.249731842101754,2982180.9096
LKA,1997.0,3143.1,2.84957674742789,..,140.422874143996,377.920982977392,7506.349,0.407328213406184,151.349623394309,..,..,..,..,..,20.769169012,15091930835.7349,800,25,0.47682295712847,18428257,-0.387913746989773,2970635.0284
LKA,1998.0,3400,1.22459231183785,..,136.343682755312,382.484476713923,7763.039,0.419394876147313,149.50107892980398,..,..,..,..,..,20.7692151319,15794972847.1683,820,24.2,0.443106578782448,18510095,-0.429173095252898,2957913.181
LKA,1999.0,3191.9,1.12676493101295,..,139.597945344943,406.260145695001,8536.776,0.458717116664007,157.623059163984,..,..,..,..,..,20.7692151319,15656342015.855,840,23.4,0.53887225042139,18610110,-0.341083144763512,2947841.424
LKA,2000.0,3338.1,1.05898854136486,..,145.039430611964,444.200143354919,10161.257,0.542075831722066,176.99762406122298,0,9515.2,2034.1,..,..,20.7692151319,16330810303.9158,880,22.7,0.722654993548454,18745084,-0.165112409653262,2942978.188
LKA,2001.0,3424.9,1.09099169127225,..,142.415320767135,425.412780627461,10245.598,0.541470750606417,181.26801578433,..,..,..,..,..,20.7692151319,15746224409.7999,830,22,0.938284805173511,18921794,0.171017614007489,2948015.5052
LKA,2002.0,3405,1.14894650915597,..,139.519097905834,428.477049555934,11008.334,0.575325534062336,187.335353428518,..,..,..,..,..,20.7692151319,17102623876.2283,850,21.3,1.11574950656198,19134096,0.342549778229372,2958131.2416
LKA,2003.0,3282.5,1.21132740876657,..,139.462487199335,448.222864675328,10659.969,0.550338146603384,171.235188507341,..,..,..,..,..,20.7692151319,18881765437.2151,940,20.7,1.22460138446924,19369853,0.445376662452637,2971335.4502
LKA,2004.0,3563.7,1.12667735136244,..,134.027388185997,448.633555600837,11965.421,0.61015055936064,182.279913863802,..,..,..,..,..,20.7692151319,20662525941.2986,1060,20.2,1.2352552010991,19610604,0.449910850542079,2984733.9288
LKA,2005.0,3467.1,1.11612854301768,..,129.061751652976,453.612229807722,11642.725,0.586755896524517,166.943787715481,0,10210.4,2055.7,..,..,20.7692151319,24405791044.7761,1190,19.5,1.17574759229036,19842536,0.384186731024219,2996222.936
LKA,2006.0,3579.8,1.6970072277349,..,120.978515022503,452.794751488755,11741.734,0.585270313581799,156.37357365799602,..,..,..,..,..,20.7692151319,28267410542.5164,1340,18.9,1.10030513699754,20062070,1.10030513699754,3029372.57
LKA,2007.0,3727.8,1.86391940286496,..,115.498312019188,456.881762963978,12313.786,0.607420215270427,153.55397224642002,..,..,..,..,..,20.7692151319,32351184234.3157,1520,18.4,1.04229253863395,20272269,1.04229253863395,3061112.619
LKA,2008.0,3595.3,1.84746502979244,..,105.620456565363,438.30991014418,11763.736,0.574575143577408,138.456575110957,..,..,..,..,..,20.7692151319,40715249699.9908,1750,17.6,0.989207809501615,20473799,0.989207809501615,3091543.649
LMC,1991.0,1934.43435979833,0.800132498687516,..,341.707329361565,615.667428067918,2133997.3540996,1.19312592482963,660.652840531493,..,..,..,..,11.9891438157223,7.28862306462595,842407065317.943,496.256278980763,110.7671906161,2.07589150715368,1788576804.58525,3.24363931331007,571721662.689067
LMC,1992.0,2038.55561225712,0.863491809022937,..,328.112992309809,594.604938205504,2330010.52094174,1.27721907831291,705.356287434345,..,..,..,..,12.0761755761915,7.52536799467806,838803069092.612,493.63670506478,108.5059698875,1.99641108821531,1824284150.23324,3.16296736181162,589805032.280329
LMC,1993.0,2126.2525660763,1.2571159057001,..,322.220622034733,584.035894812199,2293583.16403491,1.23306008929971,682.095981559972,..,..,..,..,12.1645256491789,7.89119334738825,883574133689.847,492.084520621608,106.2670886151,1.96186392453231,1860074122.85763,3.10832343102592,608138080.296068
